읍면동,자동차 등록 대수,인구수,횡단보도 개수,음식점 수,버스정류장 개수,음주 교동사고 건수,음주운전 적발 건수,year
가야1동,4947,16795,9,182,13,4.06,2.45,2023
가야2동,6293,18298,1,172,18,4.42,2.67,2023
감만1동,6466,8713,12,48,40,1.12,1.17,2023
감만2동,1893,6538,7,35,19,0.84,0.88,2023
감전동,11157,12193,54,265,52,2.87,3.03,2023
감천1동,6340,17190,1,158,44,3.99,2.49,2023
감천2동,1440,5368,3,44,13,1.25,0.78,2023
강동동,2931,3896,13,62,86,1.23,0.72,2023
개금1동,6154,18235,15,279,27,4.4,2.66,2023
개금2동,3237,10162,19,51,17,2.45,1.49,2023
개금3동,9334,26999,23,115,42,6.52,3.95,2023
거제1동,37504,28056,35,215,35,2.19,2.21,2023
거제2동,9829,16014,16,85,50,1.25,1.26,2023
거제3동,3587,9429,11,173,13,0.74,0.74,2023
거제4동,5653,9695,4,18,15,0.76,0.77,2023
광복동,307,974,0,125,0,0.01,0.09,2023
광안1동,65635,25403,5,274,16,5.78,4.15,2023
광안2동,9125,18483,26,318,20,4.21,3.02,2023
광안3동,4287,9423,6,220,20,2.15,1.54,2023
광안4동,4379,13362,0,92,14,3.04,2.18,2023
괘법동,9653,24359,27,512,37,5.74,6.06,2023
괴정1동,5921,18155,8,178,25,4.21,2.63,2023
괴정2동,4877,15185,15,67,21,3.52,2.2,2023
괴정3동,3236,11607,17,143,15,2.69,1.68,2023
괴정4동,5160,15179,25,95,16,3.52,2.2,2023
구서1동,8977,18844,13,258,36,2.81,2.68,2023
구서2동,12408,31311,0,197,34,4.66,4.45,2023
구평동,6620,12433,27,62,74,2.88,1.8,2023
구포1동,6249,15521,6,318,27,4.27,2.55,2023
구포2동,8955,23761,44,156,40,6.53,3.91,2023
구포3동,12691,18300,11,140,33,5.03,3.01,2023
금곡동,12691,35750,11,149,62,9.83,5.88,2023
금사회동동,5768,7283,8,126,52,1.08,1.03,2023
금성동,470,937,0,87,24,0.14,0.13,2023
기장읍,24068,52152,82,926,222,12.88,16.89,2023
남부민1동,1411,4524,4,32,13,0.43,0.35,2023
남부민2동,2020,8067,25,43,17,0.76,0.62,2023
남산동,10456,26680,22,339,54,3.97,3.79,2023
남천1동,7286,16133,13,347,30,3.67,2.63,2023
남천2동,5681,13475,10,104,10,3.07,2.2,2023
남포동,418,915,4,275,15,0.01,0.09,2023
남항동,3523,10323,9,321,44,0.94,1.1,2023
녹산동,27941,34878,330,566,428,11.03,6.42,2023
다대1동,15024,36703,4,381,93,8.51,5.31,2023
다대2동,9284,25818,31,186,40,5.99,3.74,2023
당감1동,7007,21443,19,225,32,5.18,3.13,2023
당감2동,3821,11301,14,49,4,2.73,1.65,2023
당감4동,3719,10621,8,130,34,2.57,1.55,2023
당리동,8790,24363,21,281,43,5.65,3.53,2023
대연1동,5600,15323,12,249,30,1.96,2.06,2023
대연3동,11922,32941,5,644,66,4.22,4.42,2023
대연4동,4696,13475,9,94,42,1.73,1.81,2023
대연5동,5084,16637,44,187,29,2.13,2.23,2023
대연6동,5634,14746,8,68,29,1.89,1.98,2023
대저1동,6316,5938,35,130,123,1.88,1.09,2023
대저2동,9092,6644,52,164,119,2.1,1.22,2023
대청동,1355,6252,10,66,17,0.07,0.59,2023
덕천1동,4386,12350,6,162,30,3.4,2.03,2023
덕천2동,3582,11243,21,354,30,3.09,1.85,2023
덕천3동,2923,10088,14,50,17,2.77,1.66,2023
덕포1동,4837,11518,9,144,20,2.71,2.86,2023
덕포2동,4933,12155,17,131,30,2.87,3.02,2023
동광동,736,2675,2,65,6,0.03,0.25,2023
동대신1동,1544,5307,8,54,10,0.5,0.4,2023
동대신2동,1872,6737,8,69,19,0.64,0.51,2023
동대신3동,2031,7368,5,104,32,0.7,0.56,2023
동삼1동,9299,27848,7,251,91,2.54,2.96,2023
동삼2동,1771,4954,22,80,18,0.45,0.53,2023
동삼3동,2142,8923,15,29,37,0.81,0.95,2023
만덕1동,6843,16344,10,66,27,4.49,2.69,2023
만덕2동,10344,26556,27,163,56,7.3,4.37,2023
만덕3동,6762,17719,76,103,25,4.87,2.91,2023
망미1동,9038,26365,9,182,49,6,4.3,2023
망미2동,3872,10074,18,89,30,2.29,1.64,2023
명륜동,10415,26450,9,402,52,4.09,2.51,2023
명장1동,4849,13500,16,148,31,2.13,1.31,2023
명장2동,4684,13939,43,64,44,2.03,1.25,2023
